domain,method,prompt_id,scores_json,selection,selector_consensus_share,selector_repeats
factual_qa,direct_borda,p051,"{""A"": 3.0, ""B"": 1.8333333333333333, ""C"": 0.3333333333333333, ""D"": 0.8333333333333334}",A,,
factual_qa,direct_signed_allocation,p051,"{""A"": 0.43333333333333335, ""B"": 0.26666666666666666, ""C"": -0.16666666666666666, ""D"": -0.13333333333333333}",A,,
reasoning,direct_best_pick,p052,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
reasoning,direct_borda,p052,"{""A"": 3.0, ""B"": 1.5, ""C"": 0.375, ""D"": 1.125}",A,,
reasoning,direct_signed_allocation,p052,"{""A"": 0.4375, ""B"": 0.1625, ""C"": -0.1625, ""D"": 0.06249999999999999}",A,,
reasoning,direct_best_pick,p053,"{""A"": 0.75, ""B"": 0.0, ""C"": 0.0, ""D"": 0.25}",A,,
reasoning,direct_borda,p053,"{""A"": 2.625, ""B"": 1.375, ""C"": 1.0, ""D"": 1.0}",A,,
reasoning,direct_signed_allocation,p053,"{""A"": 0.3375, ""B"": 0.15, ""C"": -0.1375, ""D"": 0.09999999999999999}",A,,
reasoning,direct_best_pick,p054,"{""A"": 0.0, ""B"": 0.0, ""C"": 0.75, ""D"": 0.25}",C,,
reasoning,direct_borda,p054,"{""A"": 1.0, ""B"": 1.375, ""C"": 2.375, ""D"": 1.25}",C,,
reasoning,direct_signed_allocation,p054,"{""A"": -0.012499999999999997, ""B"": 0.1625, ""C"": 0.3, ""D"": 0.075}",C,,
reasoning,direct_best_pick,p055,"{""A"": 0.25, ""B"": 0.0, ""C"": 0.75, ""D"": 0.0}",C,,
reasoning,direct_borda,p055,"{""A"": 1.375, ""B"": 1.125, ""C"": 2.75, ""D"": 0.75}",C,,
reasoning,direct_signed_allocation,p055,"{""A"": 0.2, ""B"": 0.07500000000000001, ""C"": 0.3875, ""D"": -0.037500000000000006}",C,,
reasoning,direct_best_pick,p056,"{""A"": 0.6666666666666666, ""B"": 0.0, ""C"": 0.0, ""D"": 0.3333333333333333}",A,,
reasoning,direct_borda,p056,"{""A"": 2.1666666666666665, ""B"": 2.0, ""C"": 0.5, ""D"": 1.3333333333333333}",A,,
reasoning,direct_signed_allocation,p056,"{""A"": 0.21666666666666667, ""B"": 0.3, ""C"": -0.16666666666666666, ""D"": 0.049999999999999996}",B,,
reasoning,direct_best_pick,p057,"{""A"": 0.5, ""B"": 0.0, ""C"": 0.0, ""D"": 0.5}","TIE:A,D",,
reasoning,direct_borda,p057,"{""A"": 2.25, ""B"": 1.75, ""C"": 0.25, ""D"": 1.75}",A,,
reasoning,direct_signed_allocation,p057,"{""A"": 0.2, ""B"": 0.15, ""C"": -0.225, ""D"": 0.325}",D,,
writing,direct_best_pick,p058,"{""A"": 0.3333333333333333, ""B"": 0.0, ""C"": 0.6666666666666666, ""D"": 0.0}",C,,
writing,direct_borda,p058,"{""A"": 1.5, ""B"": 0.8333333333333334, ""C"": 2.3333333333333335, ""D"": 1.3333333333333333}",C,,
writing,direct_signed_allocation,p058,"{""A"": 0.03333333333333333, ""B"": -0.03333333333333333, ""C"": 0.21666666666666667, ""D"": 0.11666666666666665}",C,,
writing,direct_best_pick,p059,"{""A"": 0.25, ""B"": 0.25, ""C"": 0.0, ""D"": 0.5}",D,,
writing,direct_borda,p059,"{""A"": 1.0, ""B"": 2.0, ""C"": 1.125, ""D"": 1.875}",B,,
writing,direct_signed_allocation,p059,"{""A"": 0.1, ""B"": 0.2375, ""C"": -0.15, ""D"": 0.18749999999999997}",B,,
writing,direct_best_pick,p060,"{""A"": 0.5, ""B"": 0.25, ""C"": 0.25, ""D"": 0.0}",A,,
writing,direct_borda,p060,"{""A"": 2.625, ""B"": 1.875, ""C"": 1.25, ""D"": 0.25}",A,,
writing,direct_signed_allocation,p060,"{""A"": 0.4375, ""B"": 0.275, ""C"": -0.1375, ""D"": -0.15}",A,,
writing,direct_best_pick,p061,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
writing,direct_borda,p061,"{""A"": 3.0, ""B"": 2.0, ""C"": 0.75, ""D"": 0.25}",A,,
writing,direct_signed_allocation,p061,"{""A"": 0.41250000000000003, ""B"": 0.3, ""C"": -0.0875, ""D"": -0.07500000000000001}",A,,
writing,direct_best_pick,p062,"{""A"": 0.5, ""B"": 0.0, ""C"": 0.5, ""D"": 0.0}","TIE:A,C",,
writing,direct_borda,p062,"{""A"": 2.5, ""B"": 1.5, ""C"": 1.75, ""D"": 0.25}",A,,
writing,direct_signed_allocation,p062,"{""A"": 0.375, ""B"": 0.25, ""C"": 0.175, ""D"": -0.1}",A,,
writing,direct_best_pick,p063,"{""A"": 0.5, ""B"": 0.0, ""C"": 0.5, ""D"": 0.0}","TIE:A,C",,
writing,direct_borda,p063,"{""A"": 2.125, ""B"": 1.375, ""C"": 2.0, ""D"": 0.5}",A,,
writing,direct_signed_allocation,p063,"{""A"": 0.3125, ""B"": 0.21250000000000002, ""C"": 0.075, ""D"": 0.07500000000000001}",A,,
safety,direct_best_pick,p064,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
safety,direct_borda,p064,"{""A"": 3.0, ""B"": 2.0, ""C"": 0.5, ""D"": 0.5}",A,,
safety,direct_signed_allocation,p064,"{""A"": 0.43333333333333335, ""B"": 0.25, ""C"": -0.16666666666666666, ""D"": -0.15}",A,,
safety,direct_best_pick,p065,"{""A"": 0.3333333333333333, ""B"": 0.3333333333333333, ""C"": 0.0, ""D"": 0.3333333333333333}","TIE:A,B,D",,
safety,direct_borda,p065,"{""A"": 1.6666666666666667, ""B"": 2.1666666666666665, ""C"": 0.8333333333333334, ""D"": 1.3333333333333333}",B,,
safety,direct_signed_allocation,p065,"{""A"": 0.13333333333333333, ""B"": 0.3333333333333333, ""C"": -0.08333333333333333, ""D"": -0.016666666666666663}",B,,
safety,direct_best_pick,p066,"{""A"": 0.0, ""B"": 0.25, ""C"": 0.75, ""D"": 0.0}",C,,
safety,direct_borda,p066,"{""A"": 1.25, ""B"": 1.75, ""C"": 2.5, ""D"": 0.5}",C,,
safety,direct_signed_allocation,p066,"{""A"": 0.325, ""B"": 0.3375, ""C"": 0.21250000000000002, ""D"": 0.075}",B,,
safety,direct_best_pick,p067,"{""A"": 0.25, ""B"": 0.5, ""C"": 0.0, ""D"": 0.25}",B,,
safety,direct_borda,p067,"{""A"": 2.0, ""B"": 2.5, ""C"": 0.5, ""D"": 1.0}",B,,
safety,direct_signed_allocation,p067,"{""A"": 0.2, ""B"": 0.33749999999999997, ""C"": -0.125, ""D"": -0.01249999999999999}",B,,
safety,direct_best_pick,p068,"{""A"": 0.0, ""B"": 0.0, ""C"": 1.0, ""D"": 0.0}",C,,
safety,direct_borda,p068,"{""A"": 1.25, ""B"": 1.75, ""C"": 3.0, ""D"": 0.0}",C,,
safety,direct_signed_allocation,p068,"{""A"": 0.375, ""B"": 0.225, ""C"": 0.125, ""D"": -0.275}",A,,
safety,direct_best_pick,p069,"{""A"": 0.0, ""B"": 0.6666666666666666, ""C"": 0.0, ""D"": 0.3333333333333333}",B,,
safety,direct_borda,p069,"{""A"": 1.1666666666666667, ""B"": 2.8333333333333335, ""C"": 0.5, ""D"": 1.5}",B,,
safety,direct_signed_allocation,p069,"{""A"": 0.06666666666666667, ""B"": 0.35000000000000003, ""C"": -0.23333333333333336, ""D"": 0.016666666666666663}",B,,
code,direct_best_pick,p070,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
code,direct_borda,p070,"{""A"": 3.0, ""B"": 2.0, ""C"": 0.875, ""D"": 0.125}",A,,
code,direct_signed_allocation,p070,"{""A"": 0.4375, ""B"": 0.25, ""C"": -0.0875, ""D"": -0.15}",A,,
code,direct_best_pick,p071,"{""A"": 0.75, ""B"": 0.0, ""C"": 0.25, ""D"": 0.0}",A,,
code,direct_borda,p071,"{""A"": 2.75, ""B"": 1.375, ""C"": 1.875, ""D"": 0.0}",A,,
code,direct_signed_allocation,p071,"{""A"": 0.4125, ""B"": 0.21250000000000002, ""C"": 0.17500000000000002, ""D"": -0.15000000000000002}",A,,
code,direct_best_pick,p072,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
code,direct_borda,p072,"{""A"": 3.0, ""B"": 2.0, ""C"": 0.5, ""D"": 0.5}",A,,
code,direct_signed_allocation,p072,"{""A"": 0.4375, ""B"": 0.3, ""C"": -0.1375, ""D"": -0.125}",A,,
code,direct_best_pick,p073,"{""A"": 0.5, ""B"": 0.0, ""C"": 0.5, ""D"": 0.0}","TIE:A,C",,
code,direct_borda,p073,"{""A"": 2.375, ""B"": 1.375, ""C"": 1.75, ""D"": 0.5}",A,,
code,direct_signed_allocation,p073,"{""A"": 0.4125, ""B"": 0.0875, ""C"": 0.0625, ""D"": -0.11250000000000002}",A,,
code,direct_best_pick,p074,"{""A"": 0.75, ""B"": 0.25, ""C"": 0.0, ""D"": 0.0}",A,,
code,direct_borda,p074,"{""A"": 2.75, ""B"": 2.125, ""C"": 0.5, ""D"": 0.625}",A,,
code,direct_signed_allocation,p074,"{""A"": 0.45, ""B"": 0.275, ""C"": 0.0, ""D"": 0.07500000000000001}",A,,
code,direct_best_pick,p075,"{""A"": 0.5, ""B"": 0.5, ""C"": 0.0, ""D"": 0.0}","TIE:A,B",,
code,direct_borda,p075,"{""A"": 1.375, ""B"": 2.5, ""C"": 0.875, ""D"": 1.25}",B,,
code,direct_signed_allocation,p075,"{""A"": 0.3125, ""B"": 0.3, ""C"": -0.1, ""D"": -0.06249999999999999}",A,,
business_advice,direct_best_pick,p076,"{""A"": 0.25, ""B"": 0.5, ""C"": 0.0, ""D"": 0.25}",B,,
business_advice,direct_borda,p076,"{""A"": 2.125, ""B"": 2.25, ""C"": 0.5, ""D"": 1.125}",B,,
business_advice,direct_signed_allocation,p076,"{""A"": 0.2875, ""B"": 0.3, ""C"": -0.1, ""D"": -0.037499999999999985}",B,,
business_advice,direct_best_pick,p077,"{""A"": 0.0, ""B"": 0.25, ""C"": 0.5, ""D"": 0.25}",C,,
business_advice,direct_borda,p077,"{""A"": 0.625, ""B"": 1.625, ""C"": 2.0, ""D"": 1.75}",C,,
business_advice,direct_signed_allocation,p077,"{""A"": 0.0, ""B"": 0.07500000000000001, ""C"": 0.1, ""D"": 0.04999999999999999}",C,,
business_advice,direct_best_pick,p078,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
business_advice,direct_borda,p078,"{""A"": 3.0, ""B"": 1.875, ""C"": 0.625, ""D"": 0.5}",A,,
business_advice,direct_signed_allocation,p078,"{""A"": 0.45, ""B"": 0.23750000000000002, ""C"": -0.0375, ""D"": -0.1}",A,,
business_advice,direct_best_pick,p079,"{""A"": 0.25, ""B"": 0.5, ""C"": 0.25, ""D"": 0.0}",B,,
business_advice,direct_borda,p079,"{""A"": 2.125, ""B"": 2.0, ""C"": 1.375, ""D"": 0.5}",A,,
business_advice,direct_signed_allocation,p079,"{""A"": 0.3875, ""B"": 0.22499999999999998, ""C"": 0.1625, ""D"": -0.049999999999999996}",A,,
business_advice,direct_best_pick,p080,"{""A"": 0.0, ""B"": 0.5, ""C"": 0.25, ""D"": 0.25}",B,,
business_advice,direct_borda,p080,"{""A"": 1.25, ""B"": 2.0, ""C"": 1.25, ""D"": 1.5}",B,,
business_advice,direct_signed_allocation,p080,"{""A"": 0.15, ""B"": 0.125, ""C"": -0.024999999999999988, ""D"": 0.1}",A,,
business_advice,direct_best_pick,p081,"{""A"": 0.75, ""B"": 0.0, ""C"": 0.25, ""D"": 0.0}",A,,
business_advice,direct_borda,p081,"{""A"": 2.75, ""B"": 1.75, ""C"": 1.5, ""D"": 0.0}",A,,
business_advice,direct_signed_allocation,p081,"{""A"": 0.39999999999999997, ""B"": 0.2625, ""C"": 0.2, ""D"": -0.0625}",A,,
instruction_following,direct_best_pick,p082,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
instruction_following,direct_borda,p082,"{""A"": 3.0, ""B"": 2.0, ""C"": 0.75, ""D"": 0.25}",A,,
instruction_following,direct_signed_allocation,p082,"{""A"": 0.42500000000000004, ""B"": 0.2625, ""C"": -0.1875, ""D"": -0.125}",A,,
instruction_following,direct_best_pick,p083,"{""A"": 0.25, ""B"": 0.5, ""C"": 0.0, ""D"": 0.25}",B,,
instruction_following,direct_borda,p083,"{""A"": 2.125, ""B"": 2.375, ""C"": 0.5, ""D"": 1.0}",B,,
instruction_following,direct_signed_allocation,p083,"{""A"": 0.3875, ""B"": 0.2875, ""C"": -0.1625, ""D"": -0.0375}",A,,
instruction_following,direct_best_pick,p084,"{""A"": 0.3333333333333333, ""B"": 0.0, ""C"": 0.3333333333333333, ""D"": 0.3333333333333333}","TIE:A,C,D",,
instruction_following,direct_borda,p084,"{""A"": 2.0, ""B"": 1.6666666666666667, ""C"": 1.3333333333333333, ""D"": 1.0}",A,,
instruction_following,direct_signed_allocation,p084,"{""A"": 0.21666666666666667, ""B"": 0.18333333333333335, ""C"": 0.016666666666666663, ""D"": -0.11666666666666665}",A,,
instruction_following,direct_best_pick,p085,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
instruction_following,direct_borda,p085,"{""A"": 3.0, ""B"": 1.75, ""C"": 0.875, ""D"": 0.375}",A,,
instruction_following,direct_signed_allocation,p085,"{""A"": 0.4125, ""B"": 0.14999999999999997, ""C"": -0.0625, ""D"": -0.15}",A,,
instruction_following,direct_best_pick,p086,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
instruction_following,direct_borda,p086,"{""A"": 3.0, ""B"": 1.875, ""C"": 0.875, ""D"": 0.25}",A,,
instruction_following,direct_signed_allocation,p086,"{""A"": 0.45, ""B"": 0.2625, ""C"": -0.07500000000000001, ""D"": -0.0875}",A,,
instruction_following,direct_best_pick,p087,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
instruction_following,direct_borda,p087,"{""A"": 2.8333333333333335, ""B"": 2.1666666666666665, ""C"": 0.5, ""D"": 0.5}",A,,
instruction_following,direct_signed_allocation,p087,"{""A"": 0.43333333333333335, ""B"": 0.3, ""C"": -0.13333333333333333, ""D"": -0.13333333333333333}",A,,
analysis,direct_best_pick,p088,"{""A"": 0.5, ""B"": 0.25, ""C"": 0.0, ""D"": 0.25}",A,,
analysis,direct_borda,p088,"{""A"": 2.0, ""B"": 2.0, ""C"": 0.5, ""D"": 1.5}","TIE:A,B",,
analysis,direct_signed_allocation,p088,"{""A"": 0.25, ""B"": 0.28750000000000003, ""C"": -0.15000000000000002, ""D"": 0.012499999999999997}",B,,
analysis,direct_best_pick,p089,"{""A"": 0.0, ""B"": 0.25, ""C"": 0.75, ""D"": 0.0}",C,,
analysis,direct_borda,p089,"{""A"": 0.875, ""B"": 1.875, ""C"": 2.375, ""D"": 0.875}",C,,
analysis,direct_signed_allocation,p089,"{""A"": 0.07500000000000001, ""B"": 0.21250000000000002, ""C"": 0.2625, ""D"": -0.07500000000000001}",C,,
analysis,direct_best_pick,p090,"{""A"": 0.25, ""B"": 0.5, ""C"": 0.0, ""D"": 0.25}",B,,
analysis,direct_borda,p090,"{""A"": 1.5, ""B"": 2.25, ""C"": 1.0, ""D"": 1.25}",B,,
analysis,direct_signed_allocation,p090,"{""A"": 0.2625, ""B"": 0.3625, ""C"": -0.012500000000000004, ""D"": 0.0875}",B,,
analysis,direct_best_pick,p091,"{""A"": 0.25, ""B"": 0.0, ""C"": 0.5, ""D"": 0.25}",C,,
analysis,direct_borda,p091,"{""A"": 1.5, ""B"": 1.5, ""C"": 1.5, ""D"": 1.5}","TIE:A,B,C,D",,
analysis,direct_signed_allocation,p091,"{""A"": 0.2875, ""B"": 0.25, ""C"": 0.19999999999999998, ""D"": -0.012499999999999997}",A,,
analysis,direct_best_pick,p092,"{""A"": 0.75, ""B"": 0.0, ""C"": 0.0, ""D"": 0.25}",A,,
analysis,direct_borda,p092,"{""A"": 2.75, ""B"": 0.5, ""C"": 1.25, ""D"": 1.5}",A,,
analysis,direct_signed_allocation,p092,"{""A"": 0.39999999999999997, ""B"": 0.012499999999999997, ""C"": -0.2, ""D"": 0.11249999999999999}",A,,
analysis,direct_best_pick,p093,"{""A"": 0.6666666666666666, ""B"": 0.3333333333333333, ""C"": 0.0, ""D"": 0.0}",A,,
analysis,direct_borda,p093,"{""A"": 2.0, ""B"": 1.6666666666666667, ""C"": 0.8333333333333334, ""D"": 1.5}",A,,
analysis,direct_signed_allocation,p093,"{""A"": 0.26666666666666666, ""B"": 0.16666666666666666, ""C"": -0.18333333333333332, ""D"": 0.11666666666666665}",A,,
analysis,direct_best_pick,p094,"{""A"": 0.0, ""B"": 0.75, ""C"": 0.0, ""D"": 0.25}",B,,
analysis,direct_borda,p094,"{""A"": 1.375, ""B"": 2.625, ""C"": 0.625, ""D"": 1.375}",B,,
analysis,direct_signed_allocation,p094,"{""A"": 0.25, ""B"": 0.3875, ""C"": 0.075, ""D"": -0.11250000000000002}",B,,
ethics_policy,direct_best_pick,p095,"{""A"": 0.75, ""B"": 0.0, ""C"": 0.0, ""D"": 0.25}",A,,
ethics_policy,direct_borda,p095,"{""A"": 2.625, ""B"": 1.875, ""C"": 0.625, ""D"": 0.875}",A,,
ethics_policy,direct_signed_allocation,p095,"{""A"": 0.3875, ""B"": 0.275, ""C"": -0.07500000000000001, ""D"": -0.0375}",A,,
ethics_policy,direct_best_pick,p096,"{""A"": 0.3333333333333333, ""B"": 0.0, ""C"": 0.0, ""D"": 0.6666666666666666}",D,,
ethics_policy,direct_borda,p096,"{""A"": 2.1666666666666665, ""B"": 1.5, ""C"": 0.3333333333333333, ""D"": 2.0}",A,,
ethics_policy,direct_signed_allocation,p096,"{""A"": 0.35000000000000003, ""B"": 0.21666666666666667, ""C"": 0.08333333333333333, ""D"": 0.21666666666666667}",A,,
ethics_policy,direct_best_pick,p097,"{""A"": 0.75, ""B"": 0.25, ""C"": 0.0, ""D"": 0.0}",A,,
ethics_policy,direct_borda,p097,"{""A"": 2.75, ""B"": 2.25, ""C"": 0.75, ""D"": 0.25}",A,,
ethics_policy,direct_signed_allocation,p097,"{""A"": 0.4375, ""B"": 0.28750000000000003, ""C"": 0.0, ""D"": -0.12499999999999999}",A,,
ethics_policy,direct_best_pick,p098,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A,,
ethics_policy,direct_borda,p098,"{""A"": 3.0, ""B"": 1.25, ""C"": 0.125, ""D"": 1.625}",A,,
ethics_policy,direct_signed_allocation,p098,"{""A"": 0.45, ""B"": 0.175, ""C"": -0.1, ""D"": 0.175}",A,,
ethics_policy,direct_best_pick,p099,"{""A"": 0.0, ""B"": 0.0, ""C"": 1.0, ""D"": 0.0}",C,,
ethics_policy,direct_borda,p099,"{""A"": 2.0, ""B"": 0.75, ""C"": 3.0, ""D"": 0.25}",C,,
ethics_policy,direct_signed_allocation,p099,"{""A"": 0.375, ""B"": 0.1875, ""C"": 0.33749999999999997, ""D"": 0.07500000000000001}",A,,
ethics_policy,direct_best_pick,p100,"{""A"": 0.6666666666666666, ""B"": 0.3333333333333333, ""C"": 0.0, ""D"": 0.0}",A,,
ethics_policy,direct_borda,p100,"{""A"": 1.5, ""B"": 1.6666666666666667, ""C"": 1.1666666666666667, ""D"": 1.6666666666666667}","TIE:B,D",,
ethics_policy,direct_signed_allocation,p100,"{""A"": 0.43333333333333335, ""B"": 0.25, ""C"": -0.11666666666666665, ""D"": -1.850371707708594e-17}",A,,
