candidate_rows,duplicate_score_count,duplicate_score_rate,evaluator_id,prompt_id,unique_scores
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p049,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p049,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p050,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p050,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_01,p051,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p051,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_03,p051,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p052,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p052,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_03,p052,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p052,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_01,p053,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p053,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p053,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p053,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p054,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p054,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_03,p054,3
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_04,p054,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p055,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p055,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p055,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_04,p055,3
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_02,p056,3
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_03,p056,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p056,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_02,p057,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p057,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_01,p058,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p058,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p058,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_01,p059,3
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_02,p059,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p059,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p059,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_01,p060,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p060,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p060,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p060,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p061,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p061,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p061,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p061,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p062,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p062,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p063,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p063,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_03,p063,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p063,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p064,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p064,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_04,p064,3
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_01,p065,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p065,4
4,2,0.5,Qwen/Qwen2.5-7B-Instruct::normal_04,p065,2
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p066,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p066,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p066,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p066,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_01,p067,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p067,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p067,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_04,p067,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p068,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p068,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_01,p069,3
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_02,p069,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p069,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_01,p070,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p070,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p070,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p070,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p071,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p071,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_03,p071,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p071,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_01,p072,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p072,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p072,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_04,p072,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p073,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p073,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p073,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p073,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p074,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_02,p074,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p074,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p074,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p075,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p075,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_03,p075,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p075,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_01,p076,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p076,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p076,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p076,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_01,p077,3
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_02,p077,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p077,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p077,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p078,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_02,p078,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p078,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p078,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_01,p079,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p079,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p079,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p079,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p080,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_02,p080,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p080,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_04,p080,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p081,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p081,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p081,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p081,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_01,p082,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p082,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_03,p082,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p082,4
4,2,0.5,Qwen/Qwen2.5-7B-Instruct::normal_01,p083,2
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p083,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p083,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_04,p083,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p084,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_02,p084,3
4,2,0.5,Qwen/Qwen2.5-7B-Instruct::normal_04,p084,2
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p085,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_02,p085,3
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_03,p085,3
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_04,p085,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p086,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p086,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_03,p086,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p086,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p087,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p087,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p087,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p088,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p088,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p088,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p088,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p089,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_02,p089,3
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_03,p089,3
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_04,p089,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p090,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p090,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p090,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_04,p090,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p091,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p091,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p091,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p091,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p092,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p092,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p092,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p092,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_01,p093,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p093,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p093,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p094,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p094,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p094,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p094,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_01,p095,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p095,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_03,p095,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p095,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p096,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p096,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p096,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p097,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p097,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p097,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p097,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_01,p098,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p098,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p098,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p098,4
4,1,0.25,Qwen/Qwen2.5-7B-Instruct::normal_01,p099,3
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p099,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p099,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p099,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_02,p100,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_03,p100,4
4,0,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,p100,4
