domain,method,prompt_id,scores_json,selection
factual_qa,direct_best_pick,p001,"{""A"": 0.5, ""B"": 0.25, ""C"": 0.0, ""D"": 0.25}",A
factual_qa,direct_borda,p001,"{""A"": 2.5, ""B"": 1.625, ""C"": 0.875, ""D"": 1.0}",A
factual_qa,direct_signed_allocation,p001,"{""A"": 0.475, ""B"": 0.16249999999999998, ""C"": -0.1875, ""D"": -0.1}",A
factual_qa,direct_best_pick,p002,"{""A"": 0.25, ""B"": 0.0, ""C"": 0.25, ""D"": 0.5}",D
factual_qa,direct_borda,p002,"{""A"": 2.5, ""B"": 0.75, ""C"": 0.625, ""D"": 2.125}",A
factual_qa,direct_signed_allocation,p002,"{""A"": 0.425, ""B"": -0.075, ""C"": -0.0625, ""D"": 0.1375}",A
factual_qa,direct_best_pick,p003,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A
factual_qa,direct_borda,p003,"{""A"": 3.0, ""B"": 2.0, ""C"": 0.75, ""D"": 0.25}",A
factual_qa,direct_signed_allocation,p003,"{""A"": 0.45, ""B"": 0.25, ""C"": -0.175, ""D"": -0.125}",A
factual_qa,direct_best_pick,p004,"{""A"": 0.6666666666666666, ""B"": 0.0, ""C"": 0.3333333333333333, ""D"": 0.0}",A
factual_qa,direct_borda,p004,"{""A"": 1.5, ""B"": 1.8333333333333333, ""C"": 1.6666666666666667, ""D"": 1.0}",B
factual_qa,direct_signed_allocation,p004,"{""A"": 0.4166666666666667, ""B"": 0.2833333333333334, ""C"": -0.016666666666666663, ""D"": -0.11666666666666665}",A
reasoning,direct_best_pick,p005,"{""A"": 0.6666666666666666, ""B"": 0.3333333333333333, ""C"": 0.0, ""D"": 0.0}",A
reasoning,direct_borda,p005,"{""A"": 2.5, ""B"": 2.1666666666666665, ""C"": 1.1666666666666667, ""D"": 0.16666666666666666}",A
reasoning,direct_signed_allocation,p005,"{""A"": 0.45, ""B"": 0.25, ""C"": -0.18333333333333335, ""D"": -0.11666666666666665}",A
reasoning,direct_best_pick,p006,"{""A"": 0.25, ""B"": 0.75, ""C"": 0.0, ""D"": 0.0}",B
reasoning,direct_borda,p006,"{""A"": 1.375, ""B"": 2.75, ""C"": 0.375, ""D"": 1.5}",B
reasoning,direct_signed_allocation,p006,"{""A"": -0.049999999999999996, ""B"": 0.4, ""C"": -0.175, ""D"": -0.024999999999999994}",B
reasoning,direct_best_pick,p007,"{""A"": 0.5, ""B"": 0.5, ""C"": 0.0, ""D"": 0.0}","TIE:A,B"
reasoning,direct_borda,p007,"{""A"": 2.25, ""B"": 2.5, ""C"": 0.625, ""D"": 0.625}",B
reasoning,direct_signed_allocation,p007,"{""A"": 0.1, ""B"": 0.3, ""C"": -0.2, ""D"": -0.15}",B
reasoning,direct_best_pick,p008,"{""A"": 0.75, ""B"": 0.0, ""C"": 0.25, ""D"": 0.0}",A
reasoning,direct_borda,p008,"{""A"": 2.75, ""B"": 1.625, ""C"": 1.25, ""D"": 0.375}",A
reasoning,direct_signed_allocation,p008,"{""A"": 0.4, ""B"": 0.2625, ""C"": 0.15000000000000002, ""D"": 0.0875}",A
writing,direct_best_pick,p009,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A
writing,direct_borda,p009,"{""A"": 3.0, ""B"": 1.875, ""C"": 0.875, ""D"": 0.25}",A
writing,direct_signed_allocation,p009,"{""A"": 0.45, ""B"": 0.225, ""C"": -0.125, ""D"": -0.125}",A
writing,direct_best_pick,p010,"{""A"": 0.25, ""B"": 0.0, ""C"": 0.75, ""D"": 0.0}",C
writing,direct_borda,p010,"{""A"": 1.375, ""B"": 1.875, ""C"": 1.75, ""D"": 1.0}",B
writing,direct_signed_allocation,p010,"{""A"": 0.1, ""B"": 0.22499999999999998, ""C"": 0.16250000000000003, ""D"": -0.2125}",B
writing,direct_best_pick,p011,"{""A"": 0.0, ""B"": 0.0, ""C"": 1.0, ""D"": 0.0}",C
writing,direct_borda,p011,"{""A"": 1.1666666666666667, ""B"": 1.1666666666666667, ""C"": 3.0, ""D"": 0.6666666666666666}",C
writing,direct_signed_allocation,p011,"{""A"": 0.11666666666666665, ""B"": 0.03333333333333333, ""C"": 0.39999999999999997, ""D"": 0.18333333333333335}",C
writing,direct_best_pick,p012,"{""A"": 0.25, ""B"": 0.0, ""C"": 0.0, ""D"": 0.75}",D
writing,direct_borda,p012,"{""A"": 1.5, ""B"": 1.0, ""C"": 0.5, ""D"": 3.0}",D
writing,direct_signed_allocation,p012,"{""A"": 0.15000000000000002, ""B"": 0.049999999999999996, ""C"": -0.0875, ""D"": 0.1625}",D
safety,direct_best_pick,p013,"{""A"": 0.0, ""B"": 0.0, ""C"": 0.5, ""D"": 0.5}","TIE:C,D"
safety,direct_borda,p013,"{""A"": 1.125, ""B"": 1.625, ""C"": 1.5, ""D"": 1.75}",D
safety,direct_signed_allocation,p013,"{""A"": 0.25, ""B"": 0.125, ""C"": 0.05, ""D"": 0.049999999999999996}",A
safety,direct_best_pick,p014,"{""A"": 0.5, ""B"": 0.25, ""C"": 0.25, ""D"": 0.0}",A
safety,direct_borda,p014,"{""A"": 2.25, ""B"": 2.125, ""C"": 1.25, ""D"": 0.375}",A
safety,direct_signed_allocation,p014,"{""A"": 0.4, ""B"": 0.2625, ""C"": -0.0625, ""D"": -0.125}",A
safety,direct_best_pick,p015,"{""A"": 0.75, ""B"": 0.0, ""C"": 0.0, ""D"": 0.25}",A
safety,direct_borda,p015,"{""A"": 2.5, ""B"": 1.625, ""C"": 0.875, ""D"": 1.0}",A
safety,direct_signed_allocation,p015,"{""A"": 0.4375, ""B"": 0.2625, ""C"": -0.049999999999999996, ""D"": -0.125}",A
safety,direct_best_pick,p016,"{""A"": 0.0, ""B"": 1.0, ""C"": 0.0, ""D"": 0.0}",B
safety,direct_borda,p016,"{""A"": 1.75, ""B"": 3.0, ""C"": 0.0, ""D"": 1.25}",B
safety,direct_signed_allocation,p016,"{""A"": 0.35, ""B"": 0.4, ""C"": -0.2, ""D"": -0.05}",B
code,direct_best_pick,p017,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A
code,direct_borda,p017,"{""A"": 3.0, ""B"": 1.875, ""C"": 0.875, ""D"": 0.25}",A
code,direct_signed_allocation,p017,"{""A"": 0.45, ""B"": 0.17500000000000002, ""C"": -0.2375, ""D"": -0.1375}",A
code,direct_best_pick,p018,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A
code,direct_borda,p018,"{""A"": 3.0, ""B"": 1.375, ""C"": 0.625, ""D"": 1.0}",A
code,direct_signed_allocation,p018,"{""A"": 0.45, ""B"": 0.025, ""C"": -0.225, ""D"": -0.025}",A
code,direct_best_pick,p019,"{""A"": 0.75, ""B"": 0.25, ""C"": 0.0, ""D"": 0.0}",A
code,direct_borda,p019,"{""A"": 2.625, ""B"": 2.25, ""C"": 0.5, ""D"": 0.625}",A
code,direct_signed_allocation,p019,"{""A"": 0.46249999999999997, ""B"": 0.22499999999999998, ""C"": -0.125, ""D"": -0.11249999999999999}",A
code,direct_best_pick,p020,"{""A"": 0.25, ""B"": 0.5, ""C"": 0.25, ""D"": 0.0}",B
code,direct_borda,p020,"{""A"": 2.0, ""B"": 2.375, ""C"": 1.5, ""D"": 0.125}",B
code,direct_signed_allocation,p020,"{""A"": 0.3625, ""B"": 0.31249999999999994, ""C"": -0.175, ""D"": -0.15}",A
business_advice,direct_best_pick,p021,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A
business_advice,direct_borda,p021,"{""A"": 3.0, ""B"": 1.5, ""C"": 1.0, ""D"": 0.5}",A
business_advice,direct_signed_allocation,p021,"{""A"": 0.425, ""B"": 0.225, ""C"": -0.0875, ""D"": -0.1875}",A
business_advice,direct_best_pick,p022,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A
business_advice,direct_borda,p022,"{""A"": 3.0, ""B"": 1.625, ""C"": 0.625, ""D"": 0.75}",A
business_advice,direct_signed_allocation,p022,"{""A"": 0.4375, ""B"": 0.21250000000000002, ""C"": -0.012500000000000004, ""D"": -0.0875}",A
business_advice,direct_best_pick,p023,"{""A"": 0.5, ""B"": 0.25, ""C"": 0.25, ""D"": 0.0}",A
business_advice,direct_borda,p023,"{""A"": 2.25, ""B"": 2.125, ""C"": 1.5, ""D"": 0.125}",A
business_advice,direct_signed_allocation,p023,"{""A"": 0.35, ""B"": 0.24999999999999997, ""C"": -0.08750000000000001, ""D"": -0.1625}",A
business_advice,direct_best_pick,p024,"{""A"": 0.75, ""B"": 0.25, ""C"": 0.0, ""D"": 0.0}",A
business_advice,direct_borda,p024,"{""A"": 2.5, ""B"": 2.25, ""C"": 0.5, ""D"": 0.75}",A
business_advice,direct_signed_allocation,p024,"{""A"": 0.36250000000000004, ""B"": 0.3, ""C"": -0.05, ""D"": 0.01249999999999999}",A
instruction_following,direct_best_pick,p025,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A
instruction_following,direct_borda,p025,"{""A"": 3.0, ""B"": 1.0, ""C"": 1.25, ""D"": 0.75}",A
instruction_following,direct_signed_allocation,p025,"{""A"": 0.4, ""B"": 0.04999999999999999, ""C"": 0.0625, ""D"": -0.0625}",A
instruction_following,direct_best_pick,p026,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A
instruction_following,direct_borda,p026,"{""A"": 3.0, ""B"": 2.0, ""C"": 0.875, ""D"": 0.125}",A
instruction_following,direct_signed_allocation,p026,"{""A"": 0.4375, ""B"": 0.3125, ""C"": -0.0625, ""D"": -0.1125}",A
analysis,direct_best_pick,p027,"{""A"": 0.5, ""B"": 0.25, ""C"": 0.0, ""D"": 0.25}",A
analysis,direct_borda,p027,"{""A"": 2.25, ""B"": 2.125, ""C"": 0.25, ""D"": 1.375}",A
analysis,direct_signed_allocation,p027,"{""A"": 0.2625, ""B"": 0.275, ""C"": -0.17500000000000002, ""D"": 0.012499999999999997}",B
analysis,direct_best_pick,p028,"{""A"": 0.0, ""B"": 0.75, ""C"": 0.0, ""D"": 0.25}",B
analysis,direct_borda,p028,"{""A"": 1.625, ""B"": 2.625, ""C"": 0.375, ""D"": 1.375}",B
analysis,direct_signed_allocation,p028,"{""A"": 0.30000000000000004, ""B"": 0.35, ""C"": -0.1, ""D"": 0.125}",B
ethics_policy,direct_best_pick,p029,"{""A"": 0.25, ""B"": 0.0, ""C"": 0.0, ""D"": 0.75}",D
ethics_policy,direct_borda,p029,"{""A"": 2.25, ""B"": 1.0, ""C"": 0.375, ""D"": 2.375}",D
ethics_policy,direct_signed_allocation,p029,"{""A"": 0.33749999999999997, ""B"": 0.1, ""C"": -0.012499999999999997, ""D"": 0.30000000000000004}",A
ethics_policy,direct_best_pick,p030,"{""A"": 0.75, ""B"": 0.25, ""C"": 0.0, ""D"": 0.0}",A
ethics_policy,direct_borda,p030,"{""A"": 2.625, ""B"": 2.125, ""C"": 0.25, ""D"": 1.0}",A
ethics_policy,direct_signed_allocation,p030,"{""A"": 0.4375, ""B"": 0.22499999999999998, ""C"": -0.2, ""D"": -0.13749999999999998}",A
factual_qa,direct_best_pick,p031,"{""A"": 0.0, ""B"": 0.25, ""C"": 0.0, ""D"": 0.75}",D
factual_qa,direct_borda,p031,"{""A"": 1.375, ""B"": 1.75, ""C"": 0.625, ""D"": 2.25}",D
factual_qa,direct_signed_allocation,p031,"{""A"": 0.22499999999999998, ""B"": 0.0375, ""C"": -0.0625, ""D"": 0.325}",D
reasoning,direct_best_pick,p032,"{""A"": 0.25, ""B"": 0.25, ""C"": 0.0, ""D"": 0.5}",D
reasoning,direct_borda,p032,"{""A"": 0.75, ""B"": 1.75, ""C"": 0.625, ""D"": 2.875}",D
reasoning,direct_signed_allocation,p032,"{""A"": 0.0875, ""B"": 0.175, ""C"": -0.125, ""D"": 0.2625}",D
writing,direct_best_pick,p033,"{""A"": 0.5, ""B"": 0.0, ""C"": 0.5, ""D"": 0.0}","TIE:A,C"
writing,direct_borda,p033,"{""A"": 2.0, ""B"": 1.0, ""C"": 2.125, ""D"": 0.875}",C
writing,direct_signed_allocation,p033,"{""A"": 0.25, ""B"": -0.012500000000000004, ""C"": 0.1, ""D"": -0.0375}",A
safety,direct_best_pick,p034,"{""A"": 0.25, ""B"": 0.5, ""C"": 0.0, ""D"": 0.25}",B
safety,direct_borda,p034,"{""A"": 2.125, ""B"": 2.375, ""C"": 0.25, ""D"": 1.25}",B
safety,direct_signed_allocation,p034,"{""A"": 0.3375, ""B"": 0.32499999999999996, ""C"": -0.13749999999999998, ""D"": 0.02500000000000001}",A
code,direct_best_pick,p035,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A
code,direct_borda,p035,"{""A"": 3.0, ""B"": 1.625, ""C"": 0.125, ""D"": 1.25}",A
code,direct_signed_allocation,p035,"{""A"": 0.4375, ""B"": 0.1875, ""C"": -0.2125, ""D"": -0.0375}",A
business_advice,direct_best_pick,p036,"{""A"": 0.6666666666666666, ""B"": 0.0, ""C"": 0.0, ""D"": 0.3333333333333333}",A
business_advice,direct_borda,p036,"{""A"": 2.6666666666666665, ""B"": 1.6666666666666667, ""C"": 0.3333333333333333, ""D"": 1.3333333333333333}",A
business_advice,direct_signed_allocation,p036,"{""A"": 0.39999999999999997, ""B"": 0.23333333333333336, ""C"": -0.049999999999999996, ""D"": 0.04999999999999999}",A
instruction_following,direct_best_pick,p037,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A
instruction_following,direct_borda,p037,"{""A"": 2.6666666666666665, ""B"": 2.3333333333333335, ""C"": 0.8333333333333334, ""D"": 0.16666666666666666}",A
instruction_following,direct_signed_allocation,p037,"{""A"": 0.4166666666666667, ""B"": 0.25, ""C"": -0.16666666666666666, ""D"": -0.16666666666666666}",A
instruction_following,direct_best_pick,p038,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A
instruction_following,direct_borda,p038,"{""A"": 3.0, ""B"": 2.0, ""C"": 0.75, ""D"": 0.25}",A
instruction_following,direct_signed_allocation,p038,"{""A"": 0.45, ""B"": 0.25, ""C"": -0.1625, ""D"": -0.1375}",A
instruction_following,direct_best_pick,p039,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A
instruction_following,direct_borda,p039,"{""A"": 3.0, ""B"": 1.5, ""C"": 0.875, ""D"": 0.625}",A
instruction_following,direct_signed_allocation,p039,"{""A"": 0.42500000000000004, ""B"": 0.2, ""C"": -0.2, ""D"": -0.175}",A
analysis,direct_best_pick,p040,"{""A"": 0.75, ""B"": 0.0, ""C"": 0.25, ""D"": 0.0}",A
analysis,direct_borda,p040,"{""A"": 2.75, ""B"": 1.75, ""C"": 1.25, ""D"": 0.25}",A
analysis,direct_signed_allocation,p040,"{""A"": 0.4, ""B"": 0.25, ""C"": 0.0625, ""D"": -0.11249999999999999}",A
analysis,direct_best_pick,p041,"{""A"": 0.5, ""B"": 0.0, ""C"": 0.5, ""D"": 0.0}","TIE:A,C"
analysis,direct_borda,p041,"{""A"": 2.25, ""B"": 1.125, ""C"": 2.125, ""D"": 0.5}",A
analysis,direct_signed_allocation,p041,"{""A"": 0.15000000000000002, ""B"": -0.012499999999999997, ""C"": 0.2375, ""D"": -0.049999999999999996}",C
analysis,direct_best_pick,p042,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A
analysis,direct_borda,p042,"{""A"": 3.0, ""B"": 1.8333333333333333, ""C"": 0.16666666666666666, ""D"": 1.0}",A
analysis,direct_signed_allocation,p042,"{""A"": 0.45, ""B"": 0.26666666666666666, ""C"": -0.13333333333333333, ""D"": -0.049999999999999996}",A
ethics_policy,direct_best_pick,p043,"{""A"": 0.75, ""B"": 0.25, ""C"": 0.0, ""D"": 0.0}",A
ethics_policy,direct_borda,p043,"{""A"": 2.75, ""B"": 2.125, ""C"": 0.375, ""D"": 0.75}",A
ethics_policy,direct_signed_allocation,p043,"{""A"": 0.42500000000000004, ""B"": 0.2875, ""C"": -0.1625, ""D"": -0.125}",A
ethics_policy,direct_best_pick,p044,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A
ethics_policy,direct_borda,p044,"{""A"": 3.0, ""B"": 2.0, ""C"": 0.5, ""D"": 0.5}",A
ethics_policy,direct_signed_allocation,p044,"{""A"": 0.4375, ""B"": 0.275, ""C"": -0.15, ""D"": -0.13749999999999998}",A
ethics_policy,direct_best_pick,p045,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A
ethics_policy,direct_borda,p045,"{""A"": 3.0, ""B"": 1.875, ""C"": 1.0, ""D"": 0.125}",A
ethics_policy,direct_signed_allocation,p045,"{""A"": 0.4375, ""B"": 0.1625, ""C"": -0.2375, ""D"": -0.1625}",A
factual_qa,direct_best_pick,p046,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A
factual_qa,direct_borda,p046,"{""A"": 2.875, ""B"": 1.5, ""C"": 0.875, ""D"": 0.75}",A
factual_qa,direct_signed_allocation,p046,"{""A"": 0.45, ""B"": 0.13749999999999998, ""C"": -0.0625, ""D"": -0.02500000000000001}",A
factual_qa,direct_best_pick,p047,"{""A"": 0.25, ""B"": 0.0, ""C"": 0.0, ""D"": 0.75}",D
factual_qa,direct_borda,p047,"{""A"": 1.875, ""B"": 1.125, ""C"": 0.25, ""D"": 2.75}",D
factual_qa,direct_signed_allocation,p047,"{""A"": 0.22500000000000003, ""B"": 0.1375, ""C"": -0.05000000000000001, ""D"": 0.4125}",D
factual_qa,direct_best_pick,p048,"{""A"": 0.6666666666666666, ""B"": 0.3333333333333333, ""C"": 0.0, ""D"": 0.0}",A
factual_qa,direct_borda,p048,"{""A"": 2.5, ""B"": 1.6666666666666667, ""C"": 0.6666666666666666, ""D"": 1.1666666666666667}",A
factual_qa,direct_signed_allocation,p048,"{""A"": 0.4166666666666667, ""B"": 0.16666666666666666, ""C"": -0.18333333333333335, ""D"": 0.033333333333333326}",A
factual_qa,direct_best_pick,p049,"{""A"": 0.25, ""B"": 0.25, ""C"": 0.25, ""D"": 0.25}","TIE:A,B,C,D"
factual_qa,direct_borda,p049,"{""A"": 2.25, ""B"": 1.75, ""C"": 1.125, ""D"": 0.875}",A
factual_qa,direct_signed_allocation,p049,"{""A"": 0.375, ""B"": 0.19999999999999998, ""C"": 0.0375, ""D"": 0.0625}",A
factual_qa,direct_best_pick,p050,"{""A"": 0.3333333333333333, ""B"": 0.6666666666666666, ""C"": 0.0, ""D"": 0.0}",B
factual_qa,direct_borda,p050,"{""A"": 2.1666666666666665, ""B"": 2.6666666666666665, ""C"": 0.16666666666666666, ""D"": 1.0}",B
factual_qa,direct_signed_allocation,p050,"{""A"": 0.19999999999999998, ""B"": 0.3833333333333333, ""C"": -0.09999999999999999, ""D"": -0.049999999999999996}",B
factual_qa,direct_best_pick,p051,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A
factual_qa,direct_borda,p051,"{""A"": 3.0, ""B"": 2.0, ""C"": 0.625, ""D"": 0.375}",A
