ballot_id,intervention,strength,candidate_id,display_id,baseline_allocation,allocation,delta_allocation,baseline_borda_points,borda_points,delta_borda,baseline_best_pick_vote,best_pick_vote,delta_best_pick
p060::Qwen/Qwen2.5-7B-Instruct::normal_02,neg_help_to_top,0.2,C,C,0.4444444444444445,-0.3333333333333333,-0.7777777777777778,3.0,2.0,-1.0,1,0,-1
p087::Qwen/Qwen2.5-7B-Instruct::normal_02,neg_hurt_to_bottom,0.2,C,C,-0.2173913043478261,0.55,0.7673913043478262,0.5,3.0,2.5,0,1,1
p060::Qwen/Qwen2.5-7B-Instruct::normal_02,hurt_to_top,0.2,C,C,0.4444444444444445,-0.2173913043478261,-0.6618357487922706,3.0,2.0,-1.0,1,0,-1
p087::Qwen/Qwen2.5-7B-Instruct::normal_02,help_to_bottom,0.2,C,C,-0.2173913043478261,0.4326923076923077,0.6500836120401339,0.5,3.0,2.5,0,1,1
p087::Qwen/Qwen2.5-7B-Instruct::normal_02,random_to_bottom,0.2,C,C,-0.2173913043478261,0.4285714285714285,0.6459627329192545,0.5,3.0,2.5,0,1,1
p087::Qwen/Qwen2.5-7B-Instruct::normal_02,random_to_bottom,0.1,C,C,-0.2173913043478261,0.4285714285714285,0.6459627329192545,0.5,3.0,2.5,0,1,1
p087::Qwen/Qwen2.5-7B-Instruct::normal_02,neg_hurt_to_bottom,0.1,C,C,-0.2173913043478261,0.4285714285714285,0.6459627329192545,0.5,3.0,2.5,0,1,1
p087::Qwen/Qwen2.5-7B-Instruct::normal_02,neg_hurt_to_bottom,0.05,C,C,-0.2173913043478261,0.4285714285714285,0.6459627329192545,0.5,3.0,2.5,0,1,1
p087::Qwen/Qwen2.5-7B-Instruct::normal_02,help_to_bottom,0.05,C,C,-0.2173913043478261,0.4285714285714285,0.6459627329192545,0.5,3.0,2.5,0,1,1
p087::Qwen/Qwen2.5-7B-Instruct::normal_02,help_to_bottom,0.1,C,C,-0.2173913043478261,0.4285714285714285,0.6459627329192545,0.5,3.0,2.5,0,1,1
p060::Qwen/Qwen2.5-7B-Instruct::normal_04,hurt_to_top,0.2,C,C,0.409090909090909,-0.2173913043478261,-0.6264822134387351,3.0,0.0,-3.0,1,0,-1
p060::Qwen/Qwen2.5-7B-Instruct::normal_04,neg_help_to_top,0.2,C,C,0.409090909090909,-0.2173913043478261,-0.6264822134387351,3.0,0.0,-3.0,1,0,-1
p090::Qwen/Qwen2.5-7B-Instruct::normal_01,random_to_top,0.05,A,A,0.4761904761904761,-0.15,-0.6261904761904761,3.0,0.0,-3.0,1,0,-1
p090::Qwen/Qwen2.5-7B-Instruct::normal_01,random3_to_top,0.2,A,A,0.4761904761904761,-0.15,-0.6261904761904761,3.0,0.0,-3.0,1,0,-1
p090::Qwen/Qwen2.5-7B-Instruct::normal_01,hurt_to_top,0.2,A,A,0.4761904761904761,-0.1428571428571428,-0.6190476190476188,3.0,0.0,-3.0,1,0,-1
p090::Qwen/Qwen2.5-7B-Instruct::normal_01,hurt_to_top,0.1,A,A,0.4761904761904761,-0.1428571428571428,-0.6190476190476188,3.0,0.0,-3.0,1,0,-1
p090::Qwen/Qwen2.5-7B-Instruct::normal_01,neg_help_to_top,0.05,A,A,0.4761904761904761,-0.1428571428571428,-0.6190476190476188,3.0,0.0,-3.0,1,0,-1
p090::Qwen/Qwen2.5-7B-Instruct::normal_01,random2_to_top,0.2,A,A,0.4761904761904761,-0.1428571428571428,-0.6190476190476188,3.0,0.0,-3.0,1,0,-1
p090::Qwen/Qwen2.5-7B-Instruct::normal_01,random_to_top,0.1,A,A,0.4761904761904761,-0.1428571428571428,-0.6190476190476188,3.0,0.0,-3.0,1,0,-1
p090::Qwen/Qwen2.5-7B-Instruct::normal_01,random_to_top,0.2,A,A,0.4761904761904761,-0.1428571428571428,-0.6190476190476188,3.0,0.0,-3.0,1,0,-1
p090::Qwen/Qwen2.5-7B-Instruct::normal_01,neg_help_to_top,0.1,A,A,0.4761904761904761,-0.1428571428571428,-0.6190476190476188,3.0,0.0,-3.0,1,0,-1
p090::Qwen/Qwen2.5-7B-Instruct::normal_01,neg_help_to_top,0.2,A,A,0.4761904761904761,-0.1363636363636363,-0.6125541125541124,3.0,0.0,-3.0,1,0,-1
p090::Qwen/Qwen2.5-7B-Instruct::normal_01,hurt_to_top,0.05,A,A,0.4761904761904761,-0.1037735849056603,-0.5799640610961364,3.0,0.0,-3.0,1,0,-1
p059::Qwen/Qwen2.5-7B-Instruct::normal_03,random3_to_top,0.1,D,D,0.4285714285714285,-0.1428571428571428,-0.5714285714285713,3.0,0.5,-2.5,1,0,-1
p059::Qwen/Qwen2.5-7B-Instruct::normal_03,random_to_top,0.05,D,D,0.4285714285714285,-0.1304347826086956,-0.5590062111801241,3.0,0.5,-2.5,1,0,-1
p059::Qwen/Qwen2.5-7B-Instruct::normal_03,hurt_to_top,0.2,D,D,0.4285714285714285,-0.1304347826086956,-0.5590062111801241,3.0,0.5,-2.5,1,0,-1
p059::Qwen/Qwen2.5-7B-Instruct::normal_03,neg_help_to_top,0.05,D,D,0.4285714285714285,-0.1304347826086956,-0.5590062111801241,3.0,0.5,-2.5,1,0,-1
p059::Qwen/Qwen2.5-7B-Instruct::normal_03,neg_help_to_top,0.2,D,D,0.4285714285714285,-0.1304347826086956,-0.5590062111801241,3.0,1.0,-2.0,1,0,-1
p059::Qwen/Qwen2.5-7B-Instruct::normal_03,random_to_top,0.2,D,D,0.4285714285714285,-0.1304347826086956,-0.5590062111801241,3.0,0.5,-2.5,1,0,-1
p059::Qwen/Qwen2.5-7B-Instruct::normal_03,hurt_to_top,0.1,D,D,0.4285714285714285,-0.1304347826086956,-0.5590062111801241,3.0,0.5,-2.5,1,0,-1
p059::Qwen/Qwen2.5-7B-Instruct::normal_03,random3_to_top,0.05,D,D,0.4285714285714285,-0.1304347826086956,-0.5590062111801241,3.0,0.5,-2.5,1,0,-1
p059::Qwen/Qwen2.5-7B-Instruct::normal_03,random3_to_top,0.2,D,D,0.4285714285714285,-0.1304347826086956,-0.5590062111801241,3.0,1.0,-2.0,1,0,-1
p059::Qwen/Qwen2.5-7B-Instruct::normal_03,hurt_to_top,0.05,D,D,0.4285714285714285,-0.1304347826086956,-0.5590062111801241,3.0,0.5,-2.5,1,0,-1
p059::Qwen/Qwen2.5-7B-Instruct::normal_03,random2_to_top,0.2,D,D,0.4285714285714285,-0.125,-0.5535714285714285,3.0,1.0,-2.0,1,0,-1
p015::Qwen/Qwen2.5-7B-Instruct::normal_02,random_to_bottom,0.2,D,D,-0.1121495327102803,0.4285714285714285,0.5407209612817088,0.0,3.0,3.0,0,1,1
p025::Qwen/Qwen2.5-7B-Instruct::normal_04,neg_hurt_to_top,0.1,C,C,0.391304347826087,-0.1363636363636363,-0.5276679841897233,3.0,3.0,0.0,1,0,-1
p025::Qwen/Qwen2.5-7B-Instruct::normal_04,help_to_top,0.2,C,C,0.391304347826087,-0.1363636363636363,-0.5276679841897233,3.0,3.0,0.0,1,0,-1
p015::Qwen/Qwen2.5-7B-Instruct::normal_02,hurt_to_bottom,0.05,D,D,-0.1121495327102803,0.409090909090909,0.5212404418011893,0.0,3.0,3.0,0,1,1
p067::Qwen/Qwen2.5-7B-Instruct::normal_03,hurt_to_top,0.2,D,D,0.409090909090909,-0.1,-0.509090909090909,3.0,0.5,-2.5,1,0,-1
p015::Qwen/Qwen2.5-7B-Instruct::normal_02,random_to_bottom,0.1,D,D,-0.1121495327102803,0.391304347826087,0.5034538805363673,0.0,3.0,3.0,0,1,1
p025::Qwen/Qwen2.5-7B-Instruct::normal_04,help_to_top,0.1,C,C,0.391304347826087,-0.1,-0.491304347826087,3.0,3.0,0.0,1,0,-1
p006::Qwen/Qwen2.5-7B-Instruct::normal_02,hurt_to_top,0.1,B,B,0.4285714285714285,-0.0625,-0.4910714285714285,3.0,1.0,-2.0,1,0,-1
p007::Qwen/Qwen2.5-7B-Instruct::normal_03,random3_to_top,0.2,A,A,0.375,-0.0869565217391304,-0.4619565217391304,3.0,1.0,-2.0,1,0,-1
p007::Qwen/Qwen2.5-7B-Instruct::normal_03,neg_hurt_to_bottom,0.1,C,C,-0.2083333333333333,0.25,0.45833333333333326,0.0,2.0,2.0,0,0,0
p015::Qwen/Qwen2.5-7B-Instruct::normal_02,random3_to_bottom,0.05,D,D,-0.1121495327102803,0.3181818181818181,0.4303313508920984,0.0,2.0,2.0,0,0,0
p090::Qwen/Qwen2.5-7B-Instruct::normal_01,random2_to_bottom,0.05,C,C,-0.1428571428571428,0.2857142857142857,0.4285714285714285,1.0,2.0,1.0,0,0,0
p032::Qwen/Qwen2.5-7B-Instruct::normal_01,help_to_top,0.1,B,B,0.4285714285714285,0.0,-0.4285714285714285,3.0,1.0,-2.0,1,0,-1
p090::Qwen/Qwen2.5-7B-Instruct::normal_01,hurt_to_bottom,0.1,C,C,-0.1428571428571428,0.2857142857142857,0.4285714285714285,1.0,2.0,1.0,0,0,0
p090::Qwen/Qwen2.5-7B-Instruct::normal_01,hurt_to_bottom,0.05,C,C,-0.1428571428571428,0.2857142857142857,0.4285714285714285,1.0,2.0,1.0,0,0,0
p032::Qwen/Qwen2.5-7B-Instruct::normal_01,random_to_top,0.1,B,B,0.4285714285714285,0.0,-0.4285714285714285,3.0,1.0,-2.0,1,0,-1
p090::Qwen/Qwen2.5-7B-Instruct::normal_01,neg_hurt_to_bottom,0.05,C,C,-0.1428571428571428,0.2857142857142857,0.4285714285714285,1.0,2.0,1.0,0,0,0
p090::Qwen/Qwen2.5-7B-Instruct::normal_01,neg_help_to_bottom,0.2,C,C,-0.1428571428571428,0.2857142857142857,0.4285714285714285,1.0,2.0,1.0,0,0,0
p090::Qwen/Qwen2.5-7B-Instruct::normal_01,help_to_bottom,0.05,C,C,-0.1428571428571428,0.2857142857142857,0.4285714285714285,1.0,2.0,1.0,0,0,0
p090::Qwen/Qwen2.5-7B-Instruct::normal_01,random2_to_bottom,0.2,C,C,-0.1428571428571428,0.2727272727272727,0.4155844155844155,1.0,2.0,1.0,0,0,0
p090::Qwen/Qwen2.5-7B-Instruct::normal_01,random_to_bottom,0.05,C,C,-0.1428571428571428,0.2727272727272727,0.4155844155844155,1.0,2.0,1.0,0,0,0
p001::Qwen/Qwen2.5-7B-Instruct::normal_04,neg_hurt_to_bottom,0.2,C,C,-0.2173913043478261,0.1904761904761904,0.4078674948240165,0.5,3.0,2.5,0,1,1
p003::Qwen/Qwen2.5-7B-Instruct::normal_02,help_to_bottom,0.1,C,C,-0.2173913043478261,0.1886792452830188,0.4060705496308449,1.0,1.0,0.0,0,0,0
p003::Qwen/Qwen2.5-7B-Instruct::normal_02,help_to_bottom,0.05,C,C,-0.2173913043478261,0.1869158878504672,0.4043071921982933,1.0,1.0,0.0,0,0,0
p003::Qwen/Qwen2.5-7B-Instruct::normal_02,help_to_bottom,0.2,C,C,-0.2173913043478261,0.1869158878504672,0.4043071921982933,1.0,1.0,0.0,0,0,0
p020::Qwen/Qwen2.5-7B-Instruct::normal_04,help_to_bottom,0.1,C,C,-0.2083333333333333,0.1904761904761904,0.3988095238095237,1.0,1.0,0.0,0,0,0
p003::Qwen/Qwen2.5-7B-Instruct::normal_04,random2_to_bottom,0.05,C,C,-0.2083333333333333,0.1869158878504672,0.39524922118380046,1.0,1.0,0.0,0,0,0
p020::Qwen/Qwen2.5-7B-Instruct::normal_04,help_to_bottom,0.05,C,C,-0.2083333333333333,0.1869158878504672,0.39524922118380046,1.0,1.0,0.0,0,0,0
p003::Qwen/Qwen2.5-7B-Instruct::normal_04,neg_hurt_to_bottom,0.1,C,C,-0.2083333333333333,0.1869158878504672,0.39524922118380046,1.0,1.0,0.0,0,0,0
p003::Qwen/Qwen2.5-7B-Instruct::normal_04,neg_hurt_to_bottom,0.05,C,C,-0.2083333333333333,0.1869158878504672,0.39524922118380046,1.0,1.0,0.0,0,0,0
p071::Qwen/Qwen2.5-7B-Instruct::normal_02,help_to_bottom,0.1,D,D,-0.1428571428571428,0.25,0.3928571428571428,1.5,1.5,0.0,0,0,0
p020::Qwen/Qwen2.5-7B-Instruct::normal_04,neg_hurt_to_bottom,0.1,C,C,-0.2083333333333333,0.1818181818181818,0.3901515151515151,1.0,1.0,0.0,0,0,0
p020::Qwen/Qwen2.5-7B-Instruct::normal_04,random_to_bottom,0.05,C,C,-0.2083333333333333,0.1818181818181818,0.3901515151515151,1.0,1.0,0.0,0,0,0
p020::Qwen/Qwen2.5-7B-Instruct::normal_04,neg_help_to_bottom,0.05,C,C,-0.2083333333333333,0.1818181818181818,0.3901515151515151,1.0,1.0,0.0,0,0,0
p020::Qwen/Qwen2.5-7B-Instruct::normal_04,random3_to_bottom,0.1,C,C,-0.2083333333333333,0.1818181818181818,0.3901515151515151,1.0,1.0,0.0,0,0,0
p003::Qwen/Qwen2.5-7B-Instruct::normal_04,random3_to_bottom,0.1,C,C,-0.2083333333333333,0.1801801801801801,0.3885135135135134,1.0,1.0,0.0,0,0,0
p003::Qwen/Qwen2.5-7B-Instruct::normal_04,random_to_bottom,0.05,C,C,-0.2083333333333333,0.1801801801801801,0.3885135135135134,1.0,1.0,0.0,0,0,0
p020::Qwen/Qwen2.5-7B-Instruct::normal_04,random3_to_bottom,0.2,C,C,-0.2083333333333333,0.1739130434782609,0.3822463768115942,1.0,1.0,0.0,0,0,0
p070::Qwen/Qwen2.5-7B-Instruct::normal_03,random2_to_bottom,0.05,C,C,-0.2083333333333333,0.1739130434782609,0.3822463768115942,0.5,1.0,0.5,0,0,0
p020::Qwen/Qwen2.5-7B-Instruct::normal_04,random2_to_bottom,0.2,C,C,-0.2083333333333333,0.1739130434782609,0.3822463768115942,1.0,1.0,0.0,0,0,0
p070::Qwen/Qwen2.5-7B-Instruct::normal_03,random_to_bottom,0.05,C,C,-0.2083333333333333,0.1739130434782609,0.3822463768115942,0.5,1.0,0.5,0,0,0
p015::Qwen/Qwen2.5-7B-Instruct::normal_02,random2_to_bottom,0.1,D,D,-0.1121495327102803,0.2574257425742574,0.3695752752845377,0.0,3.0,3.0,0,1,1
p015::Qwen/Qwen2.5-7B-Instruct::normal_02,help_to_bottom,0.1,D,D,-0.1121495327102803,0.25,0.3621495327102803,0.0,2.0,2.0,0,0,0
p003::Qwen/Qwen2.5-7B-Instruct::normal_02,neg_hurt_to_bottom,0.05,C,C,-0.2173913043478261,0.1428571428571428,0.3602484472049689,1.0,1.0,0.0,0,0,0
p070::Qwen/Qwen2.5-7B-Instruct::normal_02,neg_hurt_to_bottom,0.2,C,C,-0.2173913043478261,0.1428571428571428,0.3602484472049689,0.0,1.0,1.0,0,0,0
p022::Qwen/Qwen2.5-7B-Instruct::normal_01,random3_to_bottom,0.2,C,C,-0.2173913043478261,0.1363636363636363,0.3537549407114624,1.0,1.0,0.0,0,0,0
p020::Qwen/Qwen2.5-7B-Instruct::normal_04,random_to_bottom,0.1,C,C,-0.2083333333333333,0.1428571428571428,0.35119047619047605,1.0,1.0,0.0,0,0,0
p071::Qwen/Qwen2.5-7B-Instruct::normal_02,neg_hurt_to_bottom,0.1,D,D,-0.1428571428571428,0.205607476635514,0.34846461949265684,1.5,1.5,0.0,0,0,0
p070::Qwen/Qwen2.5-7B-Instruct::normal_03,neg_help_to_bottom,0.05,C,C,-0.2083333333333333,0.1363636363636363,0.3446969696969696,0.5,1.0,0.5,0,0,0
p070::Qwen/Qwen2.5-7B-Instruct::normal_03,help_to_bottom,0.05,C,C,-0.2083333333333333,0.1363636363636363,0.3446969696969696,0.5,1.0,0.5,0,0,0
p070::Qwen/Qwen2.5-7B-Instruct::normal_03,neg_hurt_to_bottom,0.1,C,C,-0.2083333333333333,0.1363636363636363,0.3446969696969696,0.5,1.0,0.5,0,0,0
p090::Qwen/Qwen2.5-7B-Instruct::normal_01,random2_to_top,0.1,A,A,0.4761904761904761,0.15,-0.32619047619047614,3.0,0.5,-2.5,1,0,-1
p079::Qwen/Qwen2.5-7B-Instruct::normal_03,help_to_bottom,0.05,C,C,-0.0934579439252336,0.205607476635514,0.2990654205607476,0.0,1.0,1.0,0,0,0
p079::Qwen/Qwen2.5-7B-Instruct::normal_03,help_to_bottom,0.2,C,C,-0.0934579439252336,0.205607476635514,0.2990654205607476,0.0,1.0,1.0,0,0,0
p087::Qwen/Qwen2.5-7B-Instruct::normal_02,hurt_to_top,0.1,A,A,0.4347826086956522,0.1428571428571428,-0.2919254658385094,3.0,1.0,-2.0,1,0,-1
p087::Qwen/Qwen2.5-7B-Instruct::normal_02,neg_help_to_top,0.1,A,A,0.4347826086956522,0.1428571428571428,-0.2919254658385094,3.0,1.0,-2.0,1,0,-1
p006::Qwen/Qwen2.5-7B-Instruct::normal_02,neg_help_to_top,0.1,B,B,0.4285714285714285,0.1428571428571428,-0.2857142857142857,3.0,1.5,-1.5,1,0,-1
p006::Qwen/Qwen2.5-7B-Instruct::normal_02,hurt_to_top,0.2,B,B,0.4285714285714285,0.1428571428571428,-0.2857142857142857,3.0,1.5,-1.5,1,0,-1
p006::Qwen/Qwen2.5-7B-Instruct::normal_01,random2_to_bottom,0.05,C,C,-0.1428571428571428,0.1428571428571428,0.2857142857142856,1.0,1.0,0.0,0,0,0
p003::Qwen/Qwen2.5-7B-Instruct::normal_03,hurt_to_bottom,0.05,D,D,0.1428571428571428,-0.1428571428571428,-0.2857142857142856,1.0,1.0,0.0,0,0,0
p068::Qwen/Qwen2.5-7B-Instruct::normal_02,neg_hurt_to_top,0.2,C,C,0.4545454545454545,0.1739130434782609,-0.2806324110671936,3.0,3.0,0.0,1,1,0
p006::Qwen/Qwen2.5-7B-Instruct::normal_02,neg_help_to_top,0.2,B,B,0.4285714285714285,0.1485148514851485,-0.28005657708627996,3.0,1.5,-1.5,1,0,-1
p032::Qwen/Qwen2.5-7B-Instruct::normal_01,random3_to_top,0.05,B,B,0.4285714285714285,0.15,-0.27857142857142847,3.0,1.0,-2.0,1,0,-1
p032::Qwen/Qwen2.5-7B-Instruct::normal_01,neg_help_to_top,0.2,B,B,0.4285714285714285,0.15,-0.27857142857142847,3.0,2.0,-1.0,1,0,-1
p003::Qwen/Qwen2.5-7B-Instruct::normal_03,neg_help_to_bottom,0.05,D,D,0.1428571428571428,-0.1304347826086956,-0.27329192546583836,1.0,1.0,0.0,0,0,0
p071::Qwen/Qwen2.5-7B-Instruct::normal_02,neg_hurt_to_bottom,0.2,D,D,-0.1428571428571428,0.1304347826086956,0.27329192546583836,1.5,1.5,0.0,0,0,0
